,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
523,SCAR-L,xiaonange31,6.0,199194.3,282269.5,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,352,Liush1yaNG_,61.0,198171.1,282546.9
524,Kar98k,sdjdd,1.0,361472.9,122103.6,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1812,CocaCola01,4.0,368707.4,124496.8
525,M16A4,LORD_JTR,29.0,222255.9,461756.8,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,109,jet9187,89.0,223026.7,461666.2
526,UMP9,onebadplayer,11.0,383975.6,117184.2,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,841,XBwoaini,34.0,382693.3,115299.3
527,AKM,QcnnAoneQ,7.0,450573.3,299042.6,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,346,delaidfast,62.0,450429.8,299196.9
528,Bluezone,,,,,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1278,liucainiao,16.0,250664.4,527392.1
529,M416,sdjdd,1.0,371442.1,119882.7,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1947,Arnoxiong,3.0,371809.9,120535.5
530,Bluezone,,,,,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,837,lbt_1,55.0,0.0,0.0
531,M16A4,Mnj153,8.0,216015.6,363636.9,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,524,RENEERRR,56.0,217840.2,364496.9
532,S686,liucainiao,16.0,436645.1,623570.0,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,291,Prima_Top,67.0,436421.3,623559.0
533,Mini 14,KiiQIU,25.0,339971.7,344255.3,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,859,Da-KengB,33.0,350883.8,338395.9
534,S12K,a2741458298,28.0,239503.8,524631.9,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,427,jordy140420,58.0,239917.9,523771.3
535,Mini 14,Arnoxiong,3.0,323926.1,289454.2,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1156,FPDDT,19.0,315797.4,273282.8
536,AKM,QcnnAoneQ,7.0,288064.6,265914.8,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,744,AtomicBrunette,47.0,288712.0,266447.1
537,S686,xiaonange31,6.0,203010.0,286113.3,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,137,hghhff,83.0,203114.4,285741.2
538,AKM,LJCxhh,14.0,395278.3,291034.6,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1072,KiiQIU,25.0,392752.7,292995.1
539,M16A4,LORD_JTR,29.0,215300.9,466149.9,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,270,ekram110,69.0,214275.6,467173.1
540,AKM,MTBE,23.0,367727.8,361541.6,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,656,M1R2,54.0,367872.3,361507.7
541,SCAR-L,FPDDT,19.0,314835.5,309656.4,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,765,dearW11,45.0,332192.6,298803.4
542,AKM,CocaCola01,4.0,343592.3,138725.9,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1523,Mnj153,8.0,344027.0,145986.5
543,P92,masami-_-,76.0,353062.6,407816.5,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,200,JuXinM4a1,78.0,353541.3,406988.7
544,AKM,CocaCola01,4.0,358018.2,245530.3,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1112,TB_dong,21.0,362724.3,245762.4
545,M16A4,xiaozhangcjw,20.0,444281.2,142407.4,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,699,Berton_lzh,52.0,445388.2,143019.8
546,Bluezone,,,,,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1011,a2741458298,28.0,270295.9,364654.3
547,SCAR-L,SayWelcome,15.0,188019.5,519247.3,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,333,systemPlay,65.0,189309.6,516554.8
548,M16A4,onebadplayer,11.0,376174.8,117584.1,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,716,xiaojibabubian,50.0,375945.0,118043.5
549,Micro UZI,dearW11,45.0,319735.4,323946.4,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,240,cmodels,74.0,317890.4,322588.1
550,M16A4,LORD_JTR,29.0,217666.6,469192.4,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,209,yiyawa,88.0,0.0,0.0
551,M16A4,Mnj153,8.0,272972.0,291938.2,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1105,ChaoNengxiaoshu,22.0,273023.1,290345.3
552,Kar98k,sdjdd,1.0,349026.5,121831.4,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1678,xiaonange31,6.0,373690.2,111110.0
553,Down and Out,North0023,3.0,397095.3,629026.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1534,DeltaBravo03,4.0,374381.1,644634.8
554,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,801,Oldboy26,19.0,444673.7,415427.4
555,M416,666HSP,28.0,550510.1,362445.2,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,395,RamsesThePigeon,30.0,550574.4,362856.4
556,M416,666HSP,28.0,551055.5,363187.9,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,410,Koudetat,30.0,550952.6,362992.7
557,Micro UZI,Calvincsh666,16.0,380296.2,120675.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,223,Destroyer1791,37.0,379396.5,120591.1
558,Kar98k,Teajohn,1.0,401374.2,653445.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1837,RadiationPanda,2.0,402407.5,645806.8
559,Down and Out,Freezin77,41.0,542222.8,463358.0,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,111,Tha_K0ng,41.0,542205.9,463491.6
560,Down and Out,Teajohn,1.0,391571.3,654292.6,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1824,Chubby_Cox,2.0,403164.2,645289.1
561,AKM,Zou-ws,25.0,467901.8,643930.4,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,223,H7N3,36.0,468285.8,644154.3
562,Down and Out,Zou-ws,25.0,467746.6,643535.5,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,195,Vitaminnnnnnnnnn,38.0,467717.9,644162.4
563,UMP9,Instantkills,23.0,545168.3,452775.5,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,130,Freezin77,41.0,545295.5,453548.2
564,UMP9,Rimory,12.0,332078.2,547814.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,793,LordSusej,21.0,333196.7,548634.4
565,AKM,xandygamer,32.0,447376.5,629079.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,98,abc616,44.0,447186.7,629021.0
566,S1897,HUCANBBBB,29.0,447023.3,621013.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,105,imteamate,44.0,447289.1,620993.6
567,Down and Out,Sheldcase,1.0,433755.8,421609.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,801,Scrakes,19.0,436823.0,422087.6
568,M16A4,Rimory,12.0,369598.8,505282.9,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,160,Kohakuc,34.0,369762.6,505417.4
569,P92,LoolishGaming34,9.0,494712.8,437453.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,365,jassjo,17.0,494463.7,437091.7
570,AKM,North0023,3.0,366829.7,589552.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1070,Rimory,12.0,318726.6,569325.1
571,M416,RnGDragon,40.0,439856.0,638353.6,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,84,ty233,45.0,440316.0,638705.5
572,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1346,Gab1tza,9.0,355673.8,572076.8
573,P92,Yang-xiaolong,25.0,441460.3,332979.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,289,zzici,34.0,441069.6,333068.4
574,AKM,Instantkills,23.0,539514.4,464277.9,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,260,LIXIE14JWZQM,35.0,539381.1,464634.4
575,Down and Out,Chubby_Cox,2.0,452614.5,644732.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,341,JhoNNyTV,32.0,459345.3,645431.6
576,P1911,koas1857,15.0,437934.6,443716.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,111,Sky_HR,26.0,438077.9,443784.1
577,Down and Out,kyle918,38.0,464159.5,649173.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,85,SAMPOMME,46.0,463568.0,649023.8
578,M416,North0023,3.0,397095.3,629026.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1534,Gunny_Gibbs,4.0,376044.9,645521.4
579,Down and Out,Jonywsnd,14.0,418751.0,454681.0,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,907,koas1857,15.0,432019.0,455113.6
580,SKS,RadiationPanda,2.0,403437.4,644981.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1770,Tj_Li,3.0,395338.8,648081.5
581,SCAR-L,JhoNNyTV,32.0,457963.2,641146.2,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,249,NobodySavedU,36.0,463394.0,641822.4
582,M416,Chubby_Cox,2.0,452936.3,644475.4,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,341,xandygamer,32.0,459909.5,645405.1
583,Down and Out,GARY_KK_,12.0,327890.7,546314.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,793,vAroze,21.0,332948.8,548099.8
584,UMP9,RamsesThePigeon,30.0,550406.3,363456.5,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,350,qaewfqwef,31.0,550602.2,363391.9
585,SKS,Meilaoshi,25.0,441199.1,333295.7,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,323,baby-GJY,34.0,440921.2,333309.2
586,Kar98k,Chubby_Cox,2.0,557957.8,565597.9,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,964,SUNHUIBO,13.0,539799.4,563442.5
587,UMP9,csw192312,15.0,433270.9,451214.2,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,503,VictoriaSun19,26.0,433305.3,451588.9
588,AKM,Zou-ws,25.0,467719.1,643482.4,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,195,kyle918,38.0,468049.1,643809.3
589,Down and Out,North0023,3.0,345055.9,604712.4,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,785,Cherry-hannibal,22.0,367320.9,584377.2
590,S12K,gniVMA,11.0,627460.9,383382.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,291,zhaonan1234,24.0,627531.8,383342.1
591,Down and Out,Sheldcase,1.0,436140.6,337995.5,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,626,Meilaoshi,25.0,436300.3,337685.7
592,M16A4,North0023,3.0,353858.2,602825.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,785,Ghostsal,22.0,367288.3,584667.9
593,S12K,Chubby_Cox,2.0,436650.2,640378.0,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,152,Xupeng686,40.0,436680.6,640305.2
594,Kar98k,Chubby_Cox,2.0,552855.9,570465.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,889,EEEEEEight,16.0,557295.3,564318.3
595,Punch,Tester-hoon,43.0,468401.6,646957.0,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,85,totoshuaiqi,46.0,468481.8,646875.6
596,M416,666HSP,28.0,550267.3,363324.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,441,T-cheng,28.0,550554.3,363430.0
597,Down and Out,Calvincsh666,16.0,381277.3,119088.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,223,Ronstah4Jesus,37.0,380377.3,120316.6
598,M16A4,Xupeng686,40.0,437934.9,638693.7,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,125,LCccccs,42.0,437684.2,639570.7
599,Down and Out,North0023,3.0,370050.9,591022.2,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1277,swqnbnb,10.0,381215.3,592410.1
600,M416,RnGDragon,40.0,439031.8,638255.5,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,89,Wuyan98k,45.0,438029.1,636757.1
601,Down and Out,Ghostsal,22.0,354018.5,571306.9,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,690,Instantkills,23.0,355129.3,573174.3
602,Falling,North0023,3.0,367861.9,589403.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1165,AKweilai,5.0,326391.2,580994.4
603,Down and Out,ImUrDickes,23.0,539798.1,464214.6,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,260,DabJebebus,35.0,539341.4,464439.3
604,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1468,ZR1125,5.0,388981.5,737833.3
605,M249,Ghostsal,22.0,354646.9,572463.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,690,ImUrDickes,23.0,367889.0,586428.1
606,Down and Out,RnGDragon,40.0,437917.9,638607.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,125,DYCbaba,42.0,437631.1,639859.3
607,S12K,Teajohn,1.0,436381.9,338310.0,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,626,Yang-xiaolong,25.0,436100.7,338290.3
608,UMP9,Sheldcase,1.0,425993.9,447974.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,908,csw192312,15.0,427028.7,451339.2
609,Down and Out,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1346,LoolishGaming34,9.0,341188.3,520453.9
610,P92,H7N3,36.0,467692.3,643327.7,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,125,SUNEANG_ALL_1,43.0,467883.8,643919.8
611,Down and Out,SUNEANG_ALL_1,43.0,467691.5,643948.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,125,Tester-hoon,43.0,467691.0,643601.3
612,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1400,Zou-ws,25.0,0.0,0.0
613,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1358,Graciebb,34.0,0.0,0.0
614,UMP9,csw192312,15.0,440008.9,450245.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,332,TooNo1,33.0,439466.0,447817.0
615,Down and Out,Ghostsal,22.0,440101.6,617876.4,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,427,HUCANBBBB,29.0,416550.5,625352.6
616,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,797,lsls981,25.0,0.0,0.0
617,Down and Out,csw192312,15.0,439665.9,447976.5,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,332,CHENMOUX,33.0,439613.6,447936.2
618,Mini 14,Ghostsal,22.0,438672.5,616680.4,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,431,JINGHHH,29.0,413655.8,626350.4
619,SCAR-L,Yang-xiaolong,25.0,437457.5,332995.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,497,namen-zhu,27.0,436999.8,333009.9
620,Down and Out,Sheldcase,1.0,424060.0,448457.9,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,928,Macklox,14.0,418838.8,454506.9
621,Kar98k,Teajohn,1.0,424845.3,452358.9,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,928,Jonywsnd,14.0,418694.0,454533.8
622,Down and Out,RnGDragon,40.0,437758.3,637612.2,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,190,GaoDaDan-,39.0,436783.4,624031.2
623,SCAR-L,Vitaminnnnnnnnnn,38.0,466987.6,643978.9,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,190,Yiwan-X,25.0,467702.5,643918.4
624,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,799,666HSP,28.0,0.0,0.0
625,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,827,ZGJ111,25.0,0.0,0.0
626,AKM,MeeSs7,11.0,627148.3,378717.6,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,629,zq672841,24.0,627816.4,378862.8
627,S686,LCccccs,42.0,437544.2,639634.7,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,122,RnGDragon,40.0,437741.7,639589.8
628,Falling,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,469,Seven00889,28.0,572805.0,37836.63
629,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1399,cemszzdhwn2,28.0,0.0,0.0
630,Down and Out,RadiationPanda,2.0,557529.4,564925.6,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,964,cy5kill,13.0,548561.4,563384.3
631,Mini 14,666HSP,28.0,554215.2,362629.7,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,350,Fc-zurich,31.0,553933.4,362594.2
632,SCAR-L,JhoNNyTV,32.0,447227.3,629469.5,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,192,papapa-ak47,39.0,447188.4,629429.1
633,SCAR-L,Meilaoshi,25.0,437493.9,333094.4,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,496,Xiaoranya,27.0,437003.6,332930.4
634,SKS,RadiationPanda,2.0,404658.2,643793.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1750,North0023,3.0,393125.9,647670.8
635,M416,swqnbnb,10.0,325530.3,548587.4,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1146,GARY_KK_,12.0,326976.8,551880.9
636,M16A4,North0023,3.0,369931.9,591089.2,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1277,XTMQ1314,10.0,376750.7,592697.4
637,SCAR-L,Gab1tza,9.0,474043.8,474340.5,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1169,gniVMA,11.0,477955.5,475894.8
638,Tommy Gun,Gab1tza,9.0,468792.5,471325.8,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,843,rascal-I666,17.0,470617.8,473510.5
639,Down and Out,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,469,Seven028,28.0,569725.1,38443.59
640,Down and Out,Gab1tza,9.0,468671.5,472488.0,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1169,MeeSs7,11.0,475992.4,480589.3
641,Drown,RadiationPanda,2.0,552656.9,569174.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,886,Calvincsh666,16.0,557378.9,564305.5
